제품코드,제품명,성분코드,성분명,1일최대투여량,1일최대 투여기준량,점검기준 성분함량 (총함량),급여구분,공고번호,공고일자
641607700,아셀콕스캡슐2밀리그램(폴마콕시브)_(2mg/1캡슐),636401ACH,Polmacoxib,폴마콕시브 2mg,2,2,급여,20210599,2021-12-16
660703730,레가바정25밀리그램(프레가발린)_(25mg/1정),480405ATB,Pregabalin,프레가발린 600mg,600,25,급여,20210599,2021-12-16
657307740,렉시프람정5밀리그램(에스시탈로프람옥살산염)_(6.39mg/1정),474801ATB,Escitalopram,에스시탈로프람 20mg,20,5,급여,20210599,2021-12-16
647204870,에스람정5밀리그램(에스시탈로프람옥살산염)_(6.39mg/1정),474801ATB,Escitalopram,에스시탈로프람 20mg,20,5,급여,20210599,2021-12-16
628901550,이프람정5밀리그램(에스시탈로프람옥살산염)_(6.39mg/1정),474801ATB,Escitalopram,에스시탈로프람 20mg,20,5,급여,20210599,2021-12-16
674402030,에스시탈로정5밀리그램(에스시탈로프람옥살산염)_(6.39mg/1정),474801ATB,Escitalopram,에스시탈로프람 20mg,20,5,급여,20210599,2021-12-16
657807270,렉사원정5밀리그램(에스시탈로프람옥살산염)_(6.39mg/1정),474801ATB,Escitalopram,에스시탈로프람 20mg,20,5,급여,20210599,2021-12-16
73001140,건프람정5밀리그램(에스시탈로프람옥살산염)_(6.39mg/1정),474801ATB,Escitalopram,에스시탈로프람 20mg,20,5,급여,20210599,2021-12-16
642001670,엑스프람정10mg(에스시탈로프람옥살산염)_(12.77mg/1정),474802ATB,Escitalopram,에스시탈로프람 20mg,20,10,급여,20210599,2021-12-16
661904390,럭스푸람정(에스시탈로프람옥살산염)_(12.77mg/1정),474802ATB,Escitalopram,에스시탈로프람 20mg,20,10,급여,20210599,2021-12-16
670701290,렉시탈정10밀리그램(에스시탈로프람옥살산염)_(12.77mg/1정),474802ATB,Escitalopram,에스시탈로프람 20mg,20,10,급여,20210599,2021-12-16
669501970,렉사멜정10mg(에스시탈로프람옥살산염)_(12.77mg/1정),474802ATB,Escitalopram,에스시탈로프람 20mg,20,10,급여,20210599,2021-12-16
650500851,제일펜타조신주사액_(30mg/1mL),210530BIJ,Pentazocine,펜타조신 360mg,360,30,비급여,20210599,2021-12-16
646002900,렉사틴정(에스시탈로프람옥살산염)_(12.77mg/1정),474802ATB,Escitalopram,에스시탈로프람 20mg,20,10,급여,20210599,2021-12-16
649103080,에스프람정10mg(에스시탈로프람옥살산염)_(12.77mg/1정),474802ATB,Escitalopram,에스시탈로프람 20mg,20,10,급여,20210599,2021-12-16
647204860,에스람정10밀리그램(에스시탈로프람옥살산염)_(12.77mg/1정),474802ATB,Escitalopram,에스시탈로프람 20mg,20,10,급여,20210599,2021-12-16
669906560,암로크정(암로디핀베실산염)_(6.944mg/1정),107601ATB,Amlodipine,암로디핀 10mg,10,5,급여,20210599,2021-12-16
670303730,에이엠비즈정(암로디핀베실산염)_(6.944mg/1정),107601ATB,Amlodipine,암로디핀 10mg,10,5,급여,20210599,2021-12-16
622802160,엠피디핀정(암로디핀베실산염)_(6.944mg/1정),107601ATB,Amlodipine,암로디핀 10mg,10,5,급여,20210599,2021-12-16
669804440,유니베실정5mg(암로디핀베실산염)_(6.944mg/1정),107601ATB,Amlodipine,암로디핀 10mg,10,5,급여,20210599,2021-12-16
653006890,파마독세핀정3밀리그램(독세핀염산염)_(3.39mg/1정),149203ATB,Doxepin,독세핀 6mg,6,3,급여,20210599,2021-12-16
653006900,파마독세핀정6밀리그램(독세핀염산염)_(6.78mg/1정),149204ATB,Doxepin,독세핀 6mg,6,6,급여,20210599,2021-12-16
642803480,에이디메드정20밀리그램(메만틴염산염)_(20mg/1정),190005ATB,memantine hydrochloride (as memantine),메만틴염산염 20mg,20,16.62,급여,20210599,2021-12-16
657200780,토세락정400밀리그램(미분화에토돌락)_(0.4g/1정),156603ATB,Etodolac,"에토돌락 1,200mg",1200,400,급여,20210599,2021-12-16
642307010,삼성메만틴정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
647204940,프로메틴정(메만틴염산염)_(10mg/1정),190001ATB,Memantine,메만틴염산염 20mg,20,8.31,급여,20210599,2021-12-16
